x,y,rl,crosectional_distance,Khal_Name
733619.5714,2460794.857,0.01,11,10NoSora
733618.2857,2460796.429,0.73,12,10NoSora
733617,2460798,1.65,13,10NoSora
733613.7857,2460801.929,1.66,15.5,10NoSora
733611.8571,2460804.286,0.56,17,10NoSora
733608,2460809,-0.54,20,10NoSora
733601.5714,2460816.857,-0.55,25,10NoSora
733595.1429,2460824.714,-0.57,30,10NoSora
733696,2460816.375,-0.65,0,10NoSora
733696,2460827,-0.55,5,10NoSora
733696,2460833.375,0.14,8,10NoSora
733696,2460837.625,1.52,10,10NoSora
733696,2460844,1.51,13,10NoSora
733696,2460846.125,0.73,14,10NoSora
733696,2460848.25,0.19,15,10NoSora
733696,2460850.375,0.03,16,10NoSora
733696,2460852.5,-0.07,17,10NoSora
733696,2460854.625,-0.34,18,10NoSora
733696,2460856.75,0,19,10NoSora
733696,2460857.813,0.5,19.5,10NoSora
733696,2460858.875,0.73,20,10NoSora
733696,2460861,1.75,21,10NoSora
733696,2460867.375,1.76,24,10NoSora
733696,2460871.625,0.2,26,10NoSora
733696,2460880.125,0.16,30,10NoSora
733696,2460886.5,0.15,33,10NoSora
733791.6667,2460848.833,-0.22,0,10NoSora
733790.6667,2460854.333,-0.17,3,10NoSora
733789.6667,2460859.833,-0.22,6,10NoSora
733789,2460863.5,1.48,8,10NoSora
733788,2460869,164,11,10NoSora
733787.6667,2460870.833,0.73,12,10NoSora
733787.3333,2460872.667,0.13,13,10NoSora
733787,2460874.5,-0.34,14,10NoSora
733786.6667,2460876.333,-0.24,15,10NoSora
733786.3333,2460878.167,0.03,16,10NoSora
733786.1667,2460879.083,0.731,16.5,10NoSora
733786,2460880,0.94,17,10NoSora
733785,2460885.5,1.53,20,10NoSora
